STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WSF2
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160905,0,-9999,0,65,81,53,13.6,30,28
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160906,0,-9999,0,71,75,65,13.9,20,23
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160907,0.02,-9999,0,74,83,69,9.2,20,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160908,0.15,-9999,0,76,88,68,6,170,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160909,0,-9999,0,80,92,72,6.3,250,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160910,0,-9999,0,77,90,69,7.2,160,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160911,0.46,-9999,0,76,81,58,11.2,310,31.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160912,0,-9999,0,65,79,49,3.1,230,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160913,0,-9999,0,67,83,51,6.9,240,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160914,0,-9999,0,73,90,58,9.4,350,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160915,0,-9999,0,63,73,51,4.9,360,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160916,0,-9999,0,60,76,48,4.9,180,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160917,0,-9999,0,63,78,47,8.1,190,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160918,0.08,-9999,0,72,80,66,7.6,200,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160919,0.26,-9999,0,72,76,66,4.5,160,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160920,0,-9999,0,71,81,63,2.9,160,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160921,0,-9999,0,70,82,58,3.4,20,12.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160922,0,-9999,0,68,85,52,4.5,170,12.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160923,0.41,-9999,0,67,82,53,5.6,10,23
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160924,0.01,-9999,0,60,69,47,6.5,50,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160925,0,-9999,0,54,68,41,6.3,310,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160926,0,-9999,0,52,70,37,6.7,210,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160927,0.48,-9999,0,65,75,55,2.7,150,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160928,0,-9999,0,59,64,53,9.4,50,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160929,0,-9999,0,59,65,52,11.4,40,23
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160930,0.2,-9999,0,56,62,50,13,30,21
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161001,0.06,-9999,0,52,56,49,10.5,30,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161002,0,-9999,0,55,59,52,4.9,360,8.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161003,0,-9999,0,63,73,57,3.6,70,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161004,0,-9999,0,61,66,47,7.4,20,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161005,0,-9999,0,54,70,42,4,20,12.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161006,0,-9999,0,55,74,42,2.2,160,6.9
